"Time","# Players","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Energy Removed","Deaths"
"207","5000","0","1905","1.28","4349","0","331","103","2500","0"
"208","5000","0","1902","1.27","4342","3","327","108","2500","3"
"209","5000","0","1893","1.32","4453","2","333","110","2500","2"
"210","5000","0","1890","1.31","4550","5","366","111","2500","5"
"211","5000","0","1918","1.27","4442","0","362","111","2500","0"
"212","5000","0","1897","1.27","4451","5","340","114","2500","5"
"213","5000","0","1920","1.27","4453","2","323","116","2500","2"
"214","5000","0","1895","1.3","4477","5","353","117","2500","5"
"215","5000","0","1899","1.25","4384","2","330","118","2500","2"
"216","5000","0","1899","1.3","4471","4","340","120","2500","4"
"217","5000","0","1899","1.28","4379","2","301","120","2500","2"
"218","5000","0","1891","1.31","4444","5","338","121","2500","5"
"219","5000","0","1888","1.27","4384","1","344","121","2500","1"
"220","5000","0","1868","1.25","4259","4","332","123","2500","4"
"221","5000","0","1915","1.27","4453","3","332","125","2500","3"
"222","5000","0","1900","1.31","4534","2","311","125","2500","2"
"223","5000","0","1914","1.26","4417","1","342","125","2500","1"
"224","5000","0","1876","1.29","4418","11","314","125","2500","11"
"225","5000","0","1913","1.27","4361","2","326","127","2500","2"
"226","5000","0","1890","1.25","4242","3","350","131","2500","3"
"227","5000","0","1887","1.3","4500","0","366","135","2500","0"
"228","5000","0","1913","1.31","4485","4","313","135","2500","4"
"229","5000","0","1899","1.3","4440","3","354","135","2500","3"
"230","5000","0","1880","1.27","4311","4","353","136","2500","4"
"231","5000","0","1873","1.24","4228","0","356","136","2500","0"
"232","5000","0","1911","1.26","4364","2","352","139","2500","2"
"233","5000","0","1883","1.29","4394","4","337","139","2500","4"
"234","5000","0","1887","1.27","4305","4","355","140","2500","4"
"235","5000","0","1928","1.29","4495","3","345","142","2500","3"
"236","5000","0","1906","1.24","4357","13","361","142","2500","13"
"237","5000","0","1879","1.3","4422","3","353","144","2500","3"
"238","5000","0","1897","1.27","4380","7","331","145","2500","7"
"239","5000","0","1897","1.29","4391","1","354","145","2500","1"
"240","5000","0","1872","1.23","4216","5","365","146","2500","5"
"241","5000","0","1911","1.27","4381","4","370","147","2500","4"
"242","5000","0","1896","1.28","4441","9","329","149","2500","9"
"243","5000","0","1883","1.32","4501","1","354","151","2500","1"
"244","5000","0","1872","1.27","4326","5","352","151","2500","5"
"245","5000","0","1902","1.29","4404","5","329","154","2500","5"
"246","5000","0","1911","1.3","4459","3","352","155","2500","3"
"247","5000","0","1886","1.27","4353","0","339","156","2500","0"
"248","5000","0","1910","1.29","4505","4","335","158","2500","4"
"249","5000","0","1907","1.27","4325","3","349","158","2500","3"
"250","5000","0","1900","1.29","4520","8","350","158","2500","8"
"251","5000","0","1905","1.28","4460","3","317","159","2500","3"
"252","5000","0","1921","1.31","4586","8","332","161","2500","8"
"253","5000","0","1860","1.28","4371","2","360","163","2500","2"
"254","5000","0","1896","1.27","4356","2","319","164","2500","2"
"255","5000","0","1901","1.26","4449","2","344","166","2500","2"
"256","5000","0","1880","1.27","4350","7","327","167","2500","7"
"257","5000","0","1878","1.3","4444","3","346","167","2500","3"
"258","5000","0","1900","1.28","4412","6","316","168","2500","6"
"259","5000","0","1896","1.3","4509","1","316","168","2500","1"
"260","5000","0","1919","1.3","4597","6","338","168","2500","6"
"261","5000","0","1902","1.27","4405","1","354","168","2500","1"
"262","5000","0","1891","1.31","4503","7","326","171","2500","7"
"263","5000","0","1902","1.27","4466","2","344","171","2500","2"
"264","5000","0","1930","1.3","4534","4","318","172","2500","4"
"265","5000","0","1901","1.28","4437","2","350","173","2500","2"
"266","5000","0","1893","1.32","4500","7","326","173","2500","7"
"267","5000","0","1909","1.24","4282","2","330","175","2500","2"
"268","5000","0","1920","1.26","4339","7","337","178","2500","7"
"269","5000","0","1892","1.28","4444","5","362","181","2500","5"
"270","5000","0","1919","1.25","4359","7","336","181","2500","7"
"271","5000","0","1913","1.23","4319","2","346","182","2500","2"
"272","5000","0","1914","1.28","4468","4","337","183","2500","4"
"273","5000","0","1901","1.29","4487","0","336","184","2500","0"
"274","5000","0","1903","1.27","4415","8","343","185","2500","8"
"275","5000","0","1884","1.29","4405","3","348","185","2500","3"
"276","5000","0","1886","1.26","4339","2","348","185","2500","2"
"277","5000","0","1894","1.3","4399","5","322","186","2500","5"
"278","5000","0","1903","1.25","4281","5","329","188","2500","5"
"279","5000","0","1861","1.27","4310","5","350","189","2500","5"
"280","5000","0","1902","1.29","4419","4","308","190","2500","4"
"281","5000","0","1912","1.29","4442","1","327","190","2500","1"
"282","5000","0","1921","1.31","4530","2","315","190","2500","2"
"283","5000","0","1907","1.27","4367","1","339","192","2500","1"
"284","4999","0","1891","1.28","4433","5","348","192","2500","6"
"285","5000","0","1873","1.23","4257","2","351","193","2499.5","1"
"286","5000","0","1915","1.25","4376","2","348","193","2500","2"
"287","5000","0","1897","1.31","4535","6","338","194","2500","6"
"288","5000","0","1902","1.28","4395","7","330","194","2500","7"
"289","5000","0","1899","1.26","4438","3","347","194","2500","3"
"290","5000","0","1917","1.29","4513","6","319","195","2500","6"
"291","5000","0","1901","1.28","4489","1","343","195","2500","1"
"292","5000","0","1894","1.24","4268","10","330","195","2500","10"
"293","5000","0","1899","1.28","4408","2","341","198","2500","2"
"294","5000","0","1894","1.24","4293","11","354","199","2500","11"
"295","5000","0","1919","1.25","4398","3","316","199","2500","3"
"296","5000","0","1904","1.25","4319","7","320","199","2500","7"
"297","5000","0","1897","1.28","4360","1","345","201","2500","1"
"298","5000","0","1894","1.26","4415","5","337","202","2500","5"
"299","5000","0","1880","1.23","4248","3","362","204","2500","3"
"300","5000","0","1880","1.29","4407","6","346","205","2500","6"
"301","5000","0","1871","1.3","4346","0","365","205","2500","0"
"302","5000","0","1896","1.23","4293","5","351","205","2500","5"
"303","5000","0","1897","1.28","4399","3","315","206","2500","3"
"304","5000","0","1890","1.27","4367","10","344","206","2500","10"
"305","5000","0","1901","1.26","4410","3","335","206","2500","3"
"306","5000","0","1919","1.27","4476","6","336","207","2500","6"
"307","5000","0","1924","1.25","4399","0","330","207","2500","0"
"308","5000","0","1893","1.23","4198","3","331","207","2500","3"
"309","5000","0","1872","1.25","4254","4","327","210","2500","4"
"310","5000","0","1916","1.25","4341","10","348","213","2500","10"
"311","5000","0","1908","1.25","4361","2","374","214","2500","2"
"312","5000","0","1891","1.26","4287","3","366","215","2500","3"
"313","5000","0","1922","1.26","4412","4","359","215","2500","4"
"314","5000","0","1898","1.31","4507","5","371","216","2500","5"
"315","5000","0","1898","1.25","4353","2","325","216","2500","2"
"316","5000","0","1898","1.26","4286","7","319","216","2500","7"
"317","5000","0","1888","1.28","4366","0","343","216","2500","0"
"318","5000","0","1911","1.28","4469","5","354","216","2500","5"
"319","5000","0","1922","1.26","4349","2","316","216","2500","2"
"320","5000","0","1903","1.27","4401","7","301","216","2500","7"
"321","5000","0","1917","1.28","4382","2","303","218","2500","2"
"322","5000","0","1911","1.25","4331","7","319","218","2500","7"
"323","5000","0","1903","1.23","4294","3","340","219","2500","3"
"324","5000","0","1893","1.23","4233","5","343","220","2500","5"
"325","5000","0","1885","1.25","4318","2","344","220","2500","2"
"326","5000","0","1926","1.24","4330","3","299","221","2500","3"
"327","5000","0","1899","1.26","4287","4","301","222","2500","4"
"328","5000","0","1919","1.27","4451","2","347","222","2500","2"
"329","5000","0","1906","1.29","4482","3","330","223","2500","3"
"330","5000","0","1931","1.26","4435","7","317","224","2500","7"
"331","5000","0","1913","1.29","4494","3","333","225","2500","3"
"332","5000","0","1898","1.24","4310","10","319","226","2500","10"
"333","5000","0","1891","1.25","4304","4","314","227","2500","4"
"334","5000","0","1900","1.26","4320","4","303","227","2500","4"
"335","5000","0","1866","1.29","4372","2","333","230","2500","2"
"336","5000","0","1880","1.28","4393","4","312","232","2500","4"
"337","5000","0","1890","1.27","4337","3","295","232","2500","3"
"338","5000","0","1926","1.26","4408","5","314","232","2500","5"
"339","5000","0","1907","1.21","4162","1","332","232","2500","1"
"340","5000","0","1909","1.28","4406","4","319","233","2500","4"
"341","5000","0","1898","1.25","4321","4","333","234","2500","4"
"342","5000","0","1902","1.29","4399","8","311","234","2500","8"
"343","5000","0","1898","1.25","4322","2","320","236","2500","2"
"344","5000","0","1893","1.26","4314","1","329","236","2500","1"
"345","5000","0","1929","1.23","4321","1","337","236","2500","1"
